Num,VOLTAGE,KVA,YOM,Age,CO,CO2,H2,CH4,C2H4,C2H6,C2H2,H2O,ACIDITY,BREAKDOWN,FURFURAL,DDF,Label,
103,66000,10000,1985,20,336.2,6823.5,83.7,5.5,5.4,11.1,0,19,0.119,75,0.399,0.091,2,
119,66000,6250,1976,30,389.5,2935.6,41.1,3,3.8,1.3,0,11,0.086,75,0.549,0.128,2,
121,66000,6250,1976,24,146,1200,4,2,10,3,12,9,0.047,98,0.75,0.078,2,
130,66000,,1976,29,459.2,4229.7,190.7,9.1,3.8,6.3,0,16,0.107,75,0.17,0.03,2,
133,66000,4000,1973,34,184.4,2117.3,4.7,2.2,2.2,1.2,0,11,0.092,72,0.542,0.165,2,
147,66000,21000,1986,21,589.9,3410.9,41.5,15.3,8.9,4.3,12.2,17,0.092,75,0.065,0.093,2,
148,66000,21000,1985,22,445.1,3676,37.5,9.1,11.4,3.9,23.8,17,0.083,75,0.149,0.093,2,
167,66000,15000,1975,32,354.6,5415,9.4,3.2,4,0,0,13,0.079,75,0.5,0.141,2,
170,33000,2000,1965,43,55.4,985.5,0,1.1,0.4,0.2,0,16,0.167,75,0.602,0.062,2,
183,22000,7500,1973,34,1048,5096.7,0,7.3,118.7,1.5,0,19,0.024,54,0.115,0.022,2,
191,33000,5000,1975,30,147.2,2902,0,1.8,13.1,0.9,0,18,0.173,55,0.436,0.08,2,
192,33000,5000,1975,31,198,2443.2,14.2,1.8,11.4,0.5,0.1,10,0.185,75,0.476,0.087,2,
195,33000,5000,1974,33,343.8,5278,6.1,4.4,60.3,2.3,0,16,0.15,75,0.976,0.045,2,
197,,,,,96.4,1591.6,3.1,1.1,21.8,0.9,0,18,0.142,53,0.1,0.148,2,
202,33000,1500,1949,58,181.2,2475.7,3.7,2.9,15.9,2.6,5.8,21,0.105,54,0.885,0.034,2,
206,66000,15000,1972,34,110,2195,6,1.8,1.9,0.8,0,10,0.141,75,0.601,0.173,2,
208,11000,,,,21,749,1,1,1,0,0,12,0.118,75,0.84,0.052,2,
241,22000,3000,1987,20,470.7,6107.3,94.5,5.2,6.4,3.2,0,14,0.179,72,0.068,0.024,2,
198,33000,750,1957,50,147.8,2266.1,4.4,3.3,6,4.6,0,19,0.145,30,0.103,0.043,2,
222,,,,,276,13900,19,207,72,271,0,11,0.015,62,0.04,0.019,2,
204,11000,200,1960,46,44.8,710.3,7.2,0.8,0.6,0.3,0,30,0.155,32,0.827,0.042,2,
184,22000,10000,1973,34,1016.5,3166.5,4,134.4,279.3,43.9,0,12,0.042,75,0.071,0.027,2,
221,11000,415,,,16,554.3,0,0.8,0.4,0.4,0,41,0.123,24,0.537,0.034,2,
213,33000,1500,1967,37,226,1997,0,6,4,8,24,27,0.134,36,1.062,0.10813,2,
242,33000,2500,,,641.1,7517.3,12.3,8.7,76.2,4.7,0,20,0.144,44,1.006,0.028,2,
205,11000,200,1960,46,43.2,674.3,4.1,0.7,0.4,0.5,0,29,0.17,27,0.809,0.039,2,
